,ids,exp
1602,1903,1
1603,1746,1
1604,1813,5
1605,2542,1
1606,2802,2
1607,266,1
1608,2180,1
1609,3680,25
1610,2340,1
1611,1055,2
1612,1769,7
1613,1771,2
1614,488,1
1615,2311,2
1616,3577,14
1617,2057,5
1618,2147,3
1619,1630,2
1620,3505,15
1621,3564,9
1622,1068,2
1623,2390,1
1624,2364,1
1625,2427,9
1626,3356,4
1627,3222,1
1628,3623,5
1629,3420,1
1630,2026,6
1631,348,1
1632,295,1
1633,841,10
1634,2282,2
1635,1374,4
1636,871,4
1637,2373,4
1638,2303,4
1639,539,4
1640,2851,4
1641,1932,4
1642,2409,1
1643,373,4
1644,3204,2
1645,3353,8
1646,1546,12
1647,3684,5
1648,3682,14
1649,3700,5
1650,3686,2
1651,3692,1
1652,212,1
1653,1749,1
1654,736,1
1655,989,1
1656,953,1
1657,280,2
1658,1233,2
1659,2172,2
1660,2401,3
1661,2199,23
1662,3286,7
1663,1757,2
1664,951,2
1665,2733,3
1666,1602,1
1667,1382,6
1668,1917,1
1669,1700,1
1670,2081,1
1671,98,1
1672,398,1
1673,3115,1
1674,342,1
1675,2734,3
1676,3442,5
1677,795,5
1678,1579,1
1679,2331,1
1680,1035,1
1681,3392,25
1682,2930,13
1683,778,2
1684,153,1
1685,524,1
1686,2682,4
1687,896,1
1688,1163,1
1689,2028,1
1690,1661,1
1691,2986,4
1692,2464,1
1693,1974,1
1694,585,7
1695,2689,1
1696,677,1
1697,3408,12
1698,2602,4
1699,1381,1
1700,409,4
1701,2607,2
1702,1283,1
1703,3048,1
1704,2141,3
1705,3050,3
1706,1146,3
1707,1656,3
1708,2961,2
1709,2525,3
1710,450,6
1711,2001,7
1712,2909,1
1713,1995,3
1714,3270,4
1715,1137,2
1716,1254,1
1717,3487,2
1718,2337,4
1719,225,8
1720,2371,1
1721,1799,1
1722,1549,4
1723,3272,7
1724,281,4
1725,1524,2
1726,2566,18
1727,226,2
1728,3567,1
1729,3100,4
1730,3552,1
1731,3198,1
1732,1686,1
1733,2111,1
1734,1815,6
1735,2691,1
1736,3652,8
1737,34,2
1738,2297,6
1739,117,1
1740,2883,1
1741,80,4
1742,2376,2
1743,2327,1
1744,891,5
1745,3468,1
1746,1854,1
1747,1194,1
1748,1751,11
1749,1762,7
1750,3236,1
1751,2601,8
1752,3523,9
1753,3099,1
1754,2564,7
1755,3559,2
1756,3296,3
1757,3582,3
1758,1881,1
1759,2939,4
1760,715,2
1761,2639,1
1762,2978,11
1763,39,1
1764,378,1
1765,1717,1
1766,1300,2
1767,793,1
1768,1621,1
1769,1391,1
1770,1301,1
1771,2148,1
1772,2919,4
1773,2675,2
1774,1535,2
1775,403,2
1776,3247,1
1777,1242,5
1778,2577,2
1779,3242,2
1780,1766,1
1781,1555,1
1782,2784,3
1783,2164,3
1784,2735,2
1785,2408,4
1786,1490,10
1787,591,1
1788,1518,3
1789,2123,1
1790,2321,1
1791,1801,3
1792,2693,3
1793,1807,4
1794,1810,1
1795,1758,2
1796,625,1
1797,2824,2
1798,2694,5
1799,2535,1
1800,2412,1
1801,1938,1
1802,2267,2
1803,701,1
1804,1352,2
1805,681,1
1806,163,1
1807,1971,1
1808,3530,5
1809,3411,6
1810,3504,2
1811,3637,2
1812,3662,3
1813,2515,1
1814,938,2
1815,1891,1
1816,1103,2
1817,78,3
1818,2874,3
1819,2002,1
1820,1951,2
1821,509,1
1822,41,1
1823,3558,3
1824,3575,7
1825,3657,2
1826,442,1
1827,3276,2
1828,721,3
1829,1208,9
1830,2878,2
1831,1547,1
1832,2378,7
1833,3128,1
1834,3586,1
1835,324,5
1836,298,2
1837,184,2
1838,2249,1
1839,235,1
1840,2562,1
1841,42,7
1842,316,1
1843,2007,3
1844,762,1
1845,959,2
1846,70,1
1847,2832,2
1848,3581,4
1849,1197,1
1850,1264,2
1851,3546,6
1852,2243,1
1853,739,1
1854,3342,3
1855,3094,1
1856,2468,9
1857,2459,4
1858,3081,3
1859,1966,4
1860,2603,1
1861,3138,1
1862,2681,4
1863,2479,2
1864,2167,2
1865,2144,2
1866,412,3
1867,3070,1
1868,1299,1
1869,3543,3
1870,1679,1
1871,2316,2
1872,1650,1
1873,45,1
1874,3660,2
1875,3668,13
1876,3703,2
1877,2863,1
1878,655,2
1879,2521,3
1880,3387,7
1881,2354,2
1882,3688,1
1883,2358,2
1884,2452,5
1885,2463,2
1886,3588,2
1887,2466,2
1888,646,1
1889,3240,1
1890,3004,1
1891,600,3
1892,3175,5
1893,1885,4
1894,3092,1
1895,2818,1
1896,3490,2
1897,1754,1
1898,3364,2
1899,3491,3
1900,3184,1
1901,2965,3
1902,3499,2
1903,2862,1
1904,1577,2
1905,3433,2
1906,3389,3
1907,1598,1
1908,3495,1
1909,3393,1
1910,2467,1
1911,2241,2
1912,2377,4
1913,2422,3
1914,3673,1
1915,920,1
1916,2997,2
1917,2154,1
1918,2917,1
1919,2963,1
1920,3316,6
1921,3113,1
1922,3626,1
1923,1090,3
1924,2539,1
1925,3524,1
1926,3485,1
1927,2258,1
1928,2134,1
